vial,day,adults
A4_R2_0.0,5,
A4_R2_0.0,6,
A4_R2_0.0,7,
A4_R2_0.0,8,
A4_R2_0.0,9,3
A4_R2_0.0,10,1
A4_R2_0.0,11,1
A4_R2_0.0,12,
A4_R2_0.0,13,
A4_R2_0.0,14,
A4_R2_0.5,5,
A4_R2_0.5,6,
A4_R2_0.5,7,
A4_R2_0.5,8,
A4_R2_0.5,9,1
A4_R2_0.5,10,2
A4_R2_0.5,11,8
A4_R2_0.5,12,
A4_R2_0.5,13,
A4_R2_0.5,14,
A4_R2_1.25,5,
A4_R2_1.25,6,
A4_R2_1.25,7,
A4_R2_1.25,8,
A4_R2_1.25,9,
A4_R2_1.25,10,5
A4_R2_1.25,11,
A4_R2_1.25,12,
A4_R2_1.25,13,
A4_R2_1.25,14,
A4_R2_1.5,5,
A4_R2_1.5,6,
A4_R2_1.5,7,
A4_R2_1.5,8,
A4_R2_1.5,9,
A4_R2_1.5,10,4
A4_R2_1.5,11,
A4_R2_1.5,12,
A4_R2_1.5,13,1
A4_R2_1.5,14,1
A4_R2_1.75,5,
A4_R2_1.75,6,
A4_R2_1.75,7,
A4_R2_1.75,8,
A4_R2_1.75,9,3
A4_R2_1.75,10,4
A4_R2_1.75,11,
A4_R2_1.75,12,
A4_R2_1.75,13,
A4_R2_1.75,14,
A4_R2_2.25,5,
A4_R2_2.25,6,
A4_R2_2.25,7,
A4_R2_2.25,8,
A4_R2_2.25,9,1
A4_R2_2.25,10,3
A4_R2_2.25,11,
A4_R2_2.25,12,
A4_R2_2.25,13,1
A4_R2_2.25,14,
A4_R2_2.5,5,
A4_R2_2.5,6,
A4_R2_2.5,7,
A4_R2_2.5,8,
A4_R2_2.5,9,2
A4_R2_2.5,10,2
A4_R2_2.5,11,
A4_R2_2.5,12,3
A4_R2_2.5,13,
A4_R2_2.5,14,
A4_R2_3,5,
A4_R2_3,6,
A4_R2_3,7,
A4_R2_3,8,
A4_R2_3,9,1
A4_R2_3,10,
A4_R2_3,11,
A4_R2_3,12,
A4_R2_3,13,
A4_R2_3,14,
A4_R2_4,5,
A4_R2_4,6,
A4_R2_4,7,
A4_R2_4,8,
A4_R2_4,9,1
A4_R2_4,10,1
A4_R2_4,11,1
A4_R2_4,12,
A4_R2_4,13,2
A4_R2_4,14,
A4_R2_5,5,
A4_R2_5,6,
A4_R2_5,7,
A4_R2_5,8,1
A4_R2_5,9,
A4_R2_5,10,
A4_R2_5,11,
A4_R2_5,12,
A4_R2_5,13,1
A4_R2_5,14,
A4_R3_0.0,5,
A4_R3_0.0,6,
A4_R3_0.0,7,
A4_R3_0.0,8,
A4_R3_0.0,9,2
A4_R3_0.0,10,4
A4_R3_0.0,11,1
A4_R3_0.0,12,
A4_R3_0.0,13,
A4_R3_0.0,14,
A4_R3_0.5,5,
A4_R3_0.5,6,
A4_R3_0.5,7,
A4_R3_0.5,8,
A4_R3_0.5,9,4
A4_R3_0.5,10,2
A4_R3_0.5,11,1
A4_R3_0.5,12,
A4_R3_0.5,13,
A4_R3_0.5,14,
A4_R3_1.25,5,
A4_R3_1.25,6,
A4_R3_1.25,7,
A4_R3_1.25,8,
A4_R3_1.25,9,4
A4_R3_1.25,10,1
A4_R3_1.25,11,
A4_R3_1.25,12,1
A4_R3_1.25,13,
A4_R3_1.25,14,
A4_R3_1.5,5,
A4_R3_1.5,6,
A4_R3_1.5,7,
A4_R3_1.5,8,1
A4_R3_1.5,9,1
A4_R3_1.5,10,3
A4_R3_1.5,11,
A4_R3_1.5,12,
A4_R3_1.5,13,
A4_R3_1.5,14,
A4_R3_1.75,5,
A4_R3_1.75,6,
A4_R3_1.75,7,
A4_R3_1.75,8,
A4_R3_1.75,9,1
A4_R3_1.75,10,2
A4_R3_1.75,11,2
A4_R3_1.75,12,
A4_R3_1.75,13,
A4_R3_1.75,14,
A4_R3_2.25,5,
A4_R3_2.25,6,
A4_R3_2.25,7,
A4_R3_2.25,8,2
A4_R3_2.25,9,2
A4_R3_2.25,10,
A4_R3_2.25,11,
A4_R3_2.25,12,
A4_R3_2.25,13,
A4_R3_2.25,14,
A4_R3_2.5,5,
A4_R3_2.5,6,
A4_R3_2.5,7,
A4_R3_2.5,8,1
A4_R3_2.5,9,1
A4_R3_2.5,10,1
A4_R3_2.5,11,
A4_R3_2.5,12,
A4_R3_2.5,13,1
A4_R3_2.5,14,
A4_R3_3,5,
A4_R3_3,6,
A4_R3_3,7,
A4_R3_3,8,
A4_R3_3,9,
A4_R3_3,10,1
A4_R3_3,11,
A4_R3_3,12,
A4_R3_3,13,
A4_R3_3,14,
A4_R3_4,5,
A4_R3_4,6,
A4_R3_4,7,
A4_R3_4,8,
A4_R3_4,9,
A4_R3_4,10,1
A4_R3_4,11,
A4_R3_4,12,
A4_R3_4,13,
A4_R3_4,14,
A4_R3_5,5,
A4_R3_5,6,
A4_R3_5,7,
A4_R3_5,8,
A4_R3_5,9,
A4_R3_5,10,
A4_R3_5,11,
A4_R3_5,12,
A4_R3_5,13,
A4_R3_5,14,
A4_R4_0.0,5,
A4_R4_0.0,6,
A4_R4_0.0,7,
A4_R4_0.0,8,
A4_R4_0.0,9,3
A4_R4_0.0,10,4
A4_R4_0.0,11,
A4_R4_0.0,12,
A4_R4_0.0,13,
A4_R4_0.0,14,
A4_R4_0.5,5,
A4_R4_0.5,6,
A4_R4_0.5,7,
A4_R4_0.5,8,
A4_R4_0.5,9,1
A4_R4_0.5,10,2
A4_R4_0.5,11,2
A4_R4_0.5,12,1
A4_R4_0.5,13,1
A4_R4_0.5,14,
A4_R4_1.25,5,
A4_R4_1.25,6,
A4_R4_1.25,7,
A4_R4_1.25,8,1
A4_R4_1.25,9,4
A4_R4_1.25,10,
A4_R4_1.25,11,
A4_R4_1.25,12,
A4_R4_1.25,13,
A4_R4_1.25,14,
A4_R4_1.5,5,
A4_R4_1.5,6,
A4_R4_1.5,7,
A4_R4_1.5,8,
A4_R4_1.5,9,3
A4_R4_1.5,10,2
A4_R4_1.5,11,1
A4_R4_1.5,12,1
A4_R4_1.5,13,1
A4_R4_1.5,14,
A4_R4_1.75,5,
A4_R4_1.75,6,
A4_R4_1.75,7,
A4_R4_1.75,8,
A4_R4_1.75,9,1
A4_R4_1.75,10,1
A4_R4_1.75,11,1
A4_R4_1.75,12,1
A4_R4_1.75,13,
A4_R4_1.75,14,
A4_R4_2.25,5,
A4_R4_2.25,6,
A4_R4_2.25,7,
A4_R4_2.25,8,1
A4_R4_2.25,9,2
A4_R4_2.25,10,
A4_R4_2.25,11,1
A4_R4_2.25,12,
A4_R4_2.25,13,
A4_R4_2.25,14,
A4_R4_2.5,5,
A4_R4_2.5,6,
A4_R4_2.5,7,
A4_R4_2.5,8,3
A4_R4_2.5,9,
A4_R4_2.5,10,
A4_R4_2.5,11,
A4_R4_2.5,12,
A4_R4_2.5,13,
A4_R4_2.5,14,
A4_R4_3,5,
A4_R4_3,6,
A4_R4_3,7,
A4_R4_3,8,
A4_R4_3,9,1
A4_R4_3,10,1
A4_R4_3,11,
A4_R4_3,12,
A4_R4_3,13,
A4_R4_3,14,
A4_R4_4,5,
A4_R4_4,6,
A4_R4_4,7,
A4_R4_4,8,
A4_R4_4,9,
A4_R4_4,10,
A4_R4_4,11,1
A4_R4_4,12,
A4_R4_4,13,
A4_R4_4,14,
A4_R4_5,5,
A4_R4_5,6,
A4_R4_5,7,
A4_R4_5,8,
A4_R4_5,9,
